,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
328,"TD Holdings, Inc.",CCCR,Nasdaq SmallCap Market,6.5,"1,370,000","$8,905,000",2013-08-13,/market-activity/ipos/overview?dealId=908291-72725,20,"10,370,000",67405000.0,"25TH FL, BLOCK C, TAIRAN BUILDING, NO 31 TAIRAN 8TH RD, FUTIAN DISTRICT,SHENZHEN  GUANGDONG  PRC 518000",86-0755- 88898711
329,"Envision Healthcare Holdings, Inc.",EVHC,New York Stock Exchange,23.0,"42,000,000","$966,000,000",2013-08-14,/market-activity/ipos/overview?dealId=908664-72781,16547,"174,082,885",4003906355.0,"6200 S. SYRACUSE WAY, SUITE 200   GREENWOOD VILLAGE CO 80111",(303) 495-1200
330,SiriusPoint Ltd,TPRE,New York Stock Exchange,12.5,"22,053,286","$275,666,075",2013-08-15,/market-activity/ipos/overview?dealId=910805-73028,17,"100,580,924",1257261550.0,POINT HOUSE 3 WATERLOO LANE  PEMBROKE  HM 08,1 441 542 3300
331,"Tobira Therapeutics, Inc.",RGDO,Nasdaq SmallCap Market,4.0,"10,750,000","$43,000,000",2013-08-22,/market-activity/ipos/overview?dealId=657932-72374,31,"20,381,521",81526084.0,701 GATEWAY BLVD SUITE 300  SOUTH SAN FRANCISCO CA 94080,650-741-6625
332,Ciner Resources LP,OCIR,New York Stock Exchange,19.0,"5,000,000","$95,000,000",2013-09-13,/market-activity/ipos/overview?dealId=910259-72975,413,"9,775,500",185734500.0,FIVE CONCOURSE PARKWAY SUITE 2500  ATLANTA GA 30328,770-375-2300
333,"Benefitfocus, Inc.",BNFT,Nasdaq National Market,26.5,"4,935,000","$130,777,500",2013-09-18,/market-activity/ipos/overview?dealId=913349-73249,800,"24,312,049",644269298.5,100 BENEFITFOCUS WAY   CHARLESTON SC 29492,843-849-7476
334,"FIVE PRIME THERAPEUTICS, INC.",FPRX,Nasdaq National Market,13.0,"4,800,000","$62,400,000",2013-09-18,/market-activity/ipos/overview?dealId=112806-73103,108,"16,016,807",208218491.0,111 OYSTER POINT BOULEVARD   SOUTH SAN FRANCISCO CA 94080,415-365-5600
335,ACCELERON PHARMA INC,XLRN,Nasdaq National Market,15.0,"5,580,000","$83,700,000",2013-09-19,/market-activity/ipos/overview?dealId=623083-73173,79,"26,544,188",398162820.0,128 SIDNEY STREET   CAMBRIDGE MA 02139,617-649-9200
336,"ClubCorp Holdings, Inc.",MYCC,New York Stock Exchange,14.0,"18,000,000","$252,000,000",2013-09-20,/market-activity/ipos/overview?dealId=910644-73010,14800,"63,769,730",892776220.0,"3030 LBJ FREEWAY, SUITE 500   DALLAS TX 75234",972-406-4112
337,Rocket Fuel Inc.,FUEL,Nasdaq National Market,29.0,"4,000,000","$116,000,000",2013-09-20,/market-activity/ipos/overview?dealId=817197-73280,465,"32,493,777",942319533.0,"2000 SEAPORT BLVD, SUITE 400   REDWOOD CITY CA 94063",650-595-1300
338,"DNIB UNWIND, INC.",BIND,Nasdaq National Market,15.0,"4,700,000","$70,500,000",2013-09-20,/market-activity/ipos/overview?dealId=730401-73227,50,"15,777,322",236659830.0,325 VASSAR STREET   CAMBRIDGE MA 02139,6174913400
339,"FireEye, Inc.",FEYE,Nasdaq National Market,20.0,"15,175,000","$303,500,000",2013-09-20,/market-activity/ipos/overview?dealId=716732-73149,932,"117,470,849",2349416980.0,601 MCCARTHY BLVD   MILPITAS CA 95035,408-321-6300
340,"Foundation Medicine, Inc.",FMI,Nasdaq National Market,18.0,"5,888,888","$105,999,984",2013-09-25,/market-activity/ipos/overview?dealId=826061-73119,142,"27,172,342",489102156.0,150 SECOND STREET   CAMBRIDGE MA 02141,617-418-2200
341,"IVERIC bio, Inc.",OPHT,Nasdaq National Market,22.0,"7,600,000","$167,200,000",2013-09-25,/market-activity/ipos/overview?dealId=755588-73261,22,"30,110,817",662437974.0,5 PENN PLAZA SUITE 2372  NEW YORK NY 10001,212-845-8200
342,"Premier, Inc.",PINC,Nasdaq National Market,27.0,"28,151,958","$760,102,866",2013-09-26,/market-activity/ipos/overview?dealId=914165-73339,1600,"28,151,958",760102866.0,13034 BALLANTYNE CORPORATE PLACE   CHARLOTTE NC 28277,704-357-0022
343,MONTAGE TECHNOLOGY GROUP LTD,MONT,Nasdaq National Market,10.0,"7,100,000","$71,000,000",2013-09-26,/market-activity/ipos/overview?dealId=720916-73305,446,"26,479,343",264793430.0,101 METRO DRIVE SUITE 500  SAN JOSE CA 95110,(408) 982-2788
344,"APPLIED OPTOELECTRONICS, INC.",AAOI,Nasdaq National Market,10.0,"3,600,000","$36,000,000",2013-09-26,/market-activity/ipos/overview?dealId=134164-73239,927,"12,604,334",126043340.0,13139 JESS PIRTLE BLVD   SUGAR LAND TX 77478,281-295-1800
345,Covisint Corp,COVS,Nasdaq National Market,10.0,"6,400,000","$64,000,000",2013-09-26,/market-activity/ipos/overview?dealId=906562-72518,565,"36,403,000",364030000.0,"26533 EVERGREEN RD., SUITE 500   SOUTHFIELD MI 48076",2484832000
346,Enzymotec Ltd.,ENZY,Nasdaq National Market,14.0,"4,412,000","$61,768,000",2013-09-27,/market-activity/ipos/overview?dealId=914028-73320,149,"20,869,700",292175800.0,SAGI 2000 INDUSTRIAL AREA P.O. BOX 6  MIGDAL HA?EMEQ  2310001,972747177177
347,Pattern Energy Group Inc.,PEGI,Nasdaq National Market,22.0,"16,000,000","$352,000,000",2013-09-27,/market-activity/ipos/overview?dealId=913105-73208,41,"35,528,283",781622226.0,1088 SANSOME STREET   SAN FRANCISCO CA 94111,(415) 283-4000
348,"RingCentral, Inc.",RNG,New York Stock Exchange,13.0,"7,500,000","$97,500,000",2013-09-27,/market-activity/ipos/overview?dealId=730508-73332,399,"7,500,000",97500000.0,20 DAVIS DRIVE   BELMONT CA 94002,650-472-4100
349,Violin Memory Inc,VMEM,New York Stock Exchange,9.0,"18,000,000","$162,000,000",2013-09-27,/market-activity/ipos/overview?dealId=751490-73336,445,"81,824,358",736419222.0,4555 GREAT AMERICA PARKWAY   SANTA CLARA CA 95054,650-396-1500
350,FATE THERAPEUTICS INC,FATE,Nasdaq National Market,6.0,"6,666,667","$40,000,002",2013-10-01,/market-activity/ipos/overview?dealId=777517-73244,33,"19,156,609",114939654.0,3535 GENERAL ATOMICS COURT SUITE 200  SAN DIEGO CA 92121,858.875.1803
351,"RE/MAX Holdings, Inc.",RMAX,New York Stock Exchange,22.0,"10,000,000","$220,000,000",2013-10-02,/market-activity/ipos/overview?dealId=913756-73282,438,"10,107,971",222375362.0,5075 SOUTH SYRACUSE STREET   DENVER CO 80237,(303)770-5531
352,"Empire State Realty Trust, Inc.",ESRT,New York Stock Exchange,13.0,"71,500,000","$929,500,000",2013-10-02,/market-activity/ipos/overview?dealId=874148-69200,629,"90,524,236",1176815068.0,"111 WEST 33RD STREET, 12TH FL   NEW YORK NY 10120",212-953-0888
353,"Burlington Stores, Inc.",BURL,New York Stock Exchange,17.0,"13,333,333","$226,666,661",2013-10-02,/market-activity/ipos/overview?dealId=909685-72895,29556,"71,632,530",1217753010.0,1830 ROUTE 130 NORTH   BURLINGTON NJ 08016,609-387-7800
354,POTBELLY CORP,PBPB,Nasdaq National Market,14.0,"7,500,000","$105,000,000",2013-10-04,/market-activity/ipos/overview?dealId=381367-73366,5000,"28,006,535",392091490.0,111 N. CANAL SUITE 850  CHICAGO IL 60606,3129510600
355,LDR HOLDING CORP,LDRH,Nasdaq National Market,15.0,"5,000,000","$75,000,000",2013-10-09,/market-activity/ipos/overview?dealId=694850-73340,290,"22,657,199",339857985.0,13785 RESEARCH BOULEVARD SUITE 200  AUSTIN TX 78750,512-344-3333
356,"SFX Entertainment, INC",SFXE,Nasdaq National Market,13.0,"20,000,000","$260,000,000",2013-10-09,/market-activity/ipos/overview?dealId=885264-72880,178,"83,847,154",1090013002.0,902 BROADWAY 15TH FLOOR  NEW YORK NY 10010,646-561-6400
357,"QTS Realty Trust, Inc.",QTS,New York Stock Exchange,21.0,"12,250,000","$257,250,000",2013-10-09,/market-activity/ipos/overview?dealId=913694-73271,415,"27,002,274",567047754.0,"12851 FOSTER STREET, SUITE 205   OVERLAND PARK KS 66213",913-814-9988
358,STONEGATE MORTGAGE CORP,SGM,New York Stock Exchange,16.0,"7,100,000","$113,600,000",2013-10-10,/market-activity/ipos/overview?dealId=796164-73434,652,"24,704,236",395267776.0,9190 PRIORITY WAY WEST DRIVE SUITE 300  INDIANAPOLIS IN 46240,317-663-5100
359,ANTERO RESOURCES Corp,AR,New York Stock Exchange,44.0,"35,725,000","$1,571,900,000",2013-10-10,/market-activity/ipos/overview?dealId=776600-72777,184,"260,100,000",11444400000.0,1615 WYNKOOP STREET   DENVER CO 80202,303-357-7325
360,MACROGENICS INC,MGNX,Nasdaq National Market,16.0,"5,000,000","$80,000,000",2013-10-10,/market-activity/ipos/overview?dealId=179294-73414,159,"24,021,725",384347600.0,9704 MEDICAL CENTER DRIVE   Rockville MD 20850,301-251-5172
361,VEEVA SYSTEMS INC,VEEV,New York Stock Exchange,20.0,"13,045,000","$260,900,000",2013-10-16,/market-activity/ipos/overview?dealId=737944-73466,593,"13,045,000",260900000.0,4280 HACIENDA DRIVE   PLEASANTON CA 94588,925-264-8887
362,"OneMain Holdings, Inc.",LEAF,New York Stock Exchange,17.0,"21,045,148","$357,767,516",2013-10-16,/market-activity/ipos/overview?dealId=913653-73266,4500,"111,631,667",1897738339.0,601 N.W. SECOND STREET   EVANSVILLE IN 47708,(812) 424-8031
363,"ABENGOA, S.A.",ABGB,Nasdaq National Market,12.18,"50,000,000","$609,000,000",2013-10-17,/market-activity/ipos/overview?dealId=92193-73663,27417,140705272,1713790212.96,CAMPUS PALMAS ALTAS C/ ENERGIA SOLAR 1  SEVILLE  41014,34 954 93 71 11
364,voxeljet AG,VJET,New York Stock Exchange,13.0,"6,500,000","$84,500,000",2013-10-18,/market-activity/ipos/overview?dealId=915787-73505,87,"6,500,000",84500000.0,PAUL-LENZ STRASSE 1   FRIEDBERG  86316,(49) 821 7483 100
365,"Endurance International Group Holdings, Inc.",EIGI,Nasdaq National Market,12.0,"21,051,000","$252,612,000",2013-10-25,/market-activity/ipos/overview?dealId=409100-73448,2580,"126,238,316",1514859792.0,10 CORPORATE DRIVE SUITE 300  BURLINGTON MA 01803,781-852-3200
366,"CommScope Holding Company, Inc.",COMM,Nasdaq National Market,15.0,"38,461,537","$576,923,055",2013-10-25,/market-activity/ipos/overview?dealId=852007-73151,12500,"185,653,830",2784807450.0,1100 COMMSCOPE PLACE SE   HICKORY NC 28602,8283242200
367,Sprague Resources LP,SRLP,New York Stock Exchange,18.0,"8,500,000","$153,000,000",2013-10-25,/market-activity/ipos/overview?dealId=860835-67776,400,"10,071,970",181295460.0,185 INTERNATIONAL DRIVE   PORTSMOUTH NH 03801,(800) 225-1560
368,AERIE PHARMACEUTICALS INC,AERI,Nasdaq National Market,10.0,"6,720,000","$67,200,000",2013-10-25,/market-activity/ipos/overview?dealId=684178-73508,23,"22,205,717",222057170.0,4301 EMPEROR BOULEVARD SUITE 400  DURHAM NC 27703,(919) 237-5300
369,Criteo S.A.,CRTO,Nasdaq National Market,31.0,"8,082,580","$250,559,980",2013-10-30,/market-activity/ipos/overview?dealId=915813-73513,746,"55,298,218",1714244758.0,32 RUE BLANCHE   PARIS  75009,33140402290
370,Brixmor Property Group Inc.,BRX,New York Stock Exchange,20.0,"41,250,000","$825,000,000",2013-10-30,/market-activity/ipos/overview?dealId=911024-73051,475,"223,492,460",4469849200.0,450 LEXINGTON AVENUE   NEW YORK NY 10017,(212) 869-3000
371,"VERACYTE, INC.",VCYT,Nasdaq National Market,13.0,"5,000,000","$65,000,000",2013-10-30,/market-activity/ipos/overview?dealId=729484-73535,107,"20,989,890",272868570.0,"6000 SHORELINE COURT, SUITE 300   SOUTH SAN FRANCISCO CA 94080",(650) 243-6300
372,58.com Inc.,WUBA,New York Stock Exchange,17.0,"11,000,000","$187,000,000",2013-10-31,/market-activity/ipos/overview?dealId=916607-73589,5254,"11,000,000",187000000.0,"BUILDING 105, 10 JIUXIANQIAO NORTH RD JIA, CHAOYANG DISTRICT  Beijing  100015",(86 10) 5796-08888
373,"Marcus & Millichap, Inc.",MMI,New York Stock Exchange,12.0,"6,000,000","$72,000,000",2013-10-31,/market-activity/ipos/overview?dealId=916221-73551,513,"35,700,897",428410764.0,23975 PARK SORRENTO SUITE 400  CALABASAS CA 91302,818-212-2250
374,Essent group Ltd.,ESNT,New York Stock Exchange,17.0,"19,710,118","$335,072,006",2013-10-31,/market-activity/ipos/overview?dealId=791462-73499,274,"83,538,156",1420148652.0,CLARENDON HOUSE 2 CHURCH STREET  HAMILTON  HM 11,441-297-9901
375,"Container Store Group, Inc.",TCS,New York Stock Exchange,18.0,"12,500,000","$225,000,000",2013-11-01,/market-activity/ipos/overview?dealId=756081-73610,5375,"46,047,915",828862470.0,500 Freeport Parkway   Coppell TX 75019,972-538-6000
376,Qunar Cayman Islands Ltd.,QUNR,Nasdaq National Market,15.0,"11,111,000","$166,665,000",2013-11-01,/market-activity/ipos/overview?dealId=916707-73607,1699,"11,111,000",166665000.0,"17TH FL, VIVA PLAZA, BLDG. 18, YARD 29 SUZHOU STREET, HAIDIAN DISTRICT  BEIJING  100080",86 10 5760 3000
377,Karyopharm Therapeutics Inc.,KPTI,Nasdaq National Market,16.0,"6,800,000","$108,800,000",2013-11-06,/market-activity/ipos/overview?dealId=840732-73668,23,"28,729,593",459673488.0,85 WELLS AVENUE SECOND FLOOR  NEWTON MA 02459,617-658-0600
378,Wix.com Ltd.,WIX,Nasdaq National Market,16.5,"7,700,000","$127,050,000",2013-11-06,/market-activity/ipos/overview?dealId=916877-73633,452,"36,601,064",603917556.0,40 NAMAL TEL AVIV ST.   TEL AVIV  6701101,97235454900
379,BARRACUDA NETWORKS INC,CUDA,New York Stock Exchange,18.0,"4,140,000","$74,520,000",2013-11-06,/market-activity/ipos/overview?dealId=694838-73636,1108,"50,019,343",900348174.0,3175 WINCHESTER BOULEVARD   CAMPBELL CA 95008,408-342-5400
380,DarioHealth Corp.,DRIO,OTCBB,2.3,"9,430,162","$21,689,373",2013-11-06,/market-activity/ipos/overview?dealId=866973-71601,21,"20,065,654",46151004.199999996,"142 W 57TH ST., 8TH FL.   NEW YORK NY 10019",646.665.4667
381,Zenith Energy Logistics Partners LP,ARCX,New York Stock Exchange,19.0,"6,000,000","$114,000,000",2013-11-06,/market-activity/ipos/overview?dealId=917000-73643,80,"6,081,081",115540539.0,3900 ESSEX LANE   HOUSTON TX 77027,(713) 395-6200
382,MAVENIR SYSTEMS INC,MVNR,New York Stock Exchange,10.0,"5,450,000","$54,500,000",2013-11-07,/market-activity/ipos/overview?dealId=707316-73658,670,"23,114,265",231142650.0,"1700 INTERNATIONAL PARKWAY, SUITE 200   RICHARSON TX 75081",469-916-4393
383,"Norcraft Companies, Inc.",NCFT,New York Stock Exchange,16.0,"6,397,073","$102,353,168",2013-11-07,/market-activity/ipos/overview?dealId=917286-73678,1892,"16,352,012",261632192.0,3020 DENMARK AVENUE SUITE 100  EAGAN MN 55121,(800) 297-0661
384,"TWITTER, INC.",TWTR,New York Stock Exchange,26.0,"70,000,000","$1,820,000,000",2013-11-07,/market-activity/ipos/overview?dealId=763922-73652,2300,"544,696,816",14162117216.0,"1355 MARKET STREET, SUITE 900   San Francisco CA 94103",(415) 222-9670
385,"LGI Homes, Inc.",LGIH,Nasdaq National Market,11.0,"9,000,000","$99,000,000",2013-11-07,/market-activity/ipos/overview?dealId=914262-73351,191,"19,413,449",213547939.0,1450 LAKE ROBBINS DRIVE SUITE 430  THE WOODLANDS TX 77380,281-362-8998
386,J.G. Wentworth Co,JGW,New York Stock Exchange,14.0,"9,750,000","$136,500,000",2013-11-08,/market-activity/ipos/overview?dealId=917221-73672,346,"9,757,858",136610012.0,201 KING OF PRUSSIA ROAD SUITE 501  RADNOR PA 19087-5148,(484) 434-2300
387,"NMI Holdings, Inc.",NMIH,Nasdaq National Market,13.0,"2,103,395","$27,344,135",2013-11-08,/market-activity/ipos/overview?dealId=880154-73694,175,"57,737,480",750587240.0,"2100 POWELL STREET, 12TH FLOOR   EMERYVILLE CA 94608",(855) 530-6642
388,Eros STX Global Corp,EROS,New York Stock Exchange,11.0,"5,000,000","$55,000,000",2013-11-13,/market-activity/ipos/overview?dealId=878575-69538,259,"23,037,548",253413028.0,"3900 WEST ALAMEDA AVENUE, 32ND FLOOR   BURBANK CA 91505",8185247000
389,"CHEGG, INC",CHGG,New York Stock Exchange,12.5,"15,000,000","$187,500,000",2013-11-13,/market-activity/ipos/overview?dealId=711152-73250,613,"81,728,265",1021603312.5,3990 FREEDOM CIRCLE   SANTA CLARA CA 95054,408-855-5700
390,"ESH Hospitality, Inc.",STAY,New York Stock Exchange,20.0,"28,250,000","$565,000,000",2013-11-13,/market-activity/ipos/overview?dealId=843701-73067,10400,"200,450,000",4009000000.0,11525 N. COMMUNITY HOUSE ROAD SUITE 100  CHARLOTTE NC 28277,980-345-1600
391,TANDEM DIABETES CARE INC,TNDM,Nasdaq National Market,15.0,"8,000,000","$120,000,000",2013-11-14,/market-activity/ipos/overview?dealId=781334-73675,307,"21,378,095",320671425.0,11075 ROSELLE STREET   San Diego CA 92121,858-366-6900
392,Houghton Mifflin Harcourt Co,HMHC,Nasdaq National Market,12.0,"18,250,000","$219,000,000",2013-11-14,/market-activity/ipos/overview?dealId=912184-73152,3300,"139,955,578",1679466936.0,125 HIGH STREET   BOSTON MA 02110,617-351-5000
393,"Zulily, Inc.",ZU,Nasdaq National Market,22.0,"11,500,000","$253,000,000",2013-11-15,/market-activity/ipos/overview?dealId=817798-73687,950,"11,500,000",253000000.0,"2601 ELLIOTT AVENUE, SUITE 200   SEATTLE WA 98121",(877) 779-5614
394,Relypsa Inc,RLYP,Nasdaq National Market,11.0,"6,850,000","$75,350,000",2013-11-15,/market-activity/ipos/overview?dealId=760791-73595,69,"28,664,799",315312789.0,100 CARDINAL WAY   REDWOOD CITY CA 94063,650-421-9500
395,Navigator Holdings Ltd.,NVGS,New York Stock Exchange,19.0,"12,000,000","$228,000,000",2013-11-21,/market-activity/ipos/overview?dealId=918065-73758,22,"55,326,765",1051208535.0,VERDE BUILDING 10 BRESSENDEN PLACE  LONDON  SW1E 5DH,44 (0) 20 7340 4852
396,Evogene Ltd.,EVGN,New York Stock Exchange,14.75,"5,000,000","$73,750,000",2013-11-21,/market-activity/ipos/overview?dealId=916214-73550,187,"24,069,577",355026260.75,13 GAD FEINSTEIN STREET PARK REHOVOT P.O.B 2100  REHOVOT  76121,97289311900
397,Sungy Mobile Ltd,GOMO,Nasdaq National Market,11.22,"7,000,000","$78,540,000",2013-11-22,/market-activity/ipos/overview?dealId=918355-73782,776,"7,000,000",78540000.0,"FLOOR 17, TOWER A, NO. 33 ZHONGSHAN 3RD ROAD  GUANG ZHOU  510055",00862066815066
398,Ideal Power Inc.,IPWR,Nasdaq SmallCap Market,5.0,"3,000,000","$15,000,000",2013-11-22,/market-activity/ipos/overview?dealId=843917-73172,10,"6,200,357",31001785.0,4120 FREIDRICH LANE SUITE 100  AUSTIN TX 78744,512-264-1542
399,Oxford Immunotec Global PLC,OXFD,Nasdaq National Market,12.0,"5,360,000","$64,320,000",2013-11-22,/market-activity/ipos/overview?dealId=917842-73741,151,"16,433,460",197201520.0,94C INNOVATION DRIVE MILTON PARK  ABINGDON  OX14 4RZ,44 01235 442780
400,VINCE HOLDING CORP.,VNCE,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2013-11-22,/market-activity/ipos/overview?dealId=916301-73562,1514,"36,263,585",725271700.0,500 FIFTH AVENUE 20TH FLOOR  NEW YORK NY 10110,212-515-2600
401,500.com Ltd,WBAI,New York Stock Exchange,13.0,"5,786,000","$75,218,000",2013-11-22,/market-activity/ipos/overview?dealId=918353-73781,353,"5,786,000",75218000.0,"14F, WEST SIDE, BLOCK B, BUILDING NO. 7 SHENZHEN BAY ECO-TECHNOLOGY PARK  NANSHAN DISTRICT, SHENZHEN  518115",(86 755) 8633 0000
402,Xencor Inc,XNCR,Nasdaq National Market,5.5,"12,730,000","$70,015,000",2013-12-03,/market-activity/ipos/overview?dealId=673726-73719,31,"29,422,576",161824168.0,111 WEST LEMON AVE   MONROVIA CA 91016,626-305-5900
403,Kofax Ltd,KFX,Nasdaq National Market,5.85,"2,000,000","$11,700,000",2013-12-05,/market-activity/ipos/overview?dealId=917125-73653,1248,"91,638,519",536085336.15,15211 LAGUNA CANYON ROAD   IRVINE CA 92618,441 295 1442
404,Autohome Inc.,ATHM,New York Stock Exchange,17.0,"7,820,000","$132,940,000",2013-12-11,/market-activity/ipos/overview?dealId=919265-73861,1092,"7,820,000",132940000.0,"18TH FLOOR TOWER B, CEC PLAZA 3 Dan Ling Street, Haidian District  Beijin  100080",8610 5985 7001
405,Hilton Worldwide Holdings Inc.,HLT,New York Stock Exchange,20.0,"117,640,624","$2,352,812,480",2013-12-12,/market-activity/ipos/overview?dealId=915398-73473,151000,"984,615,364",19692307280.0,"7930 JONES BRANCH DRIVE, SUITE 1100   MCLEAN VA 22102",703-883-1000
406,TETRALOGIC PHARMACEUTICALS Corp,TLOG,Nasdaq National Market,7.0,"7,150,000","$50,050,000",2013-12-12,/market-activity/ipos/overview?dealId=707137-73772,22,"21,116,904",147818328.0,P.O. BOX 1305   PAOLI NY 19301,610-889-9900
407,Aramark,ARMK,New York Stock Exchange,20.0,"36,250,000","$725,000,000",2013-12-12,/market-activity/ipos/overview?dealId=914974-73445,272000,"229,837,345",4596746900.0,2400 MARKET STREET   PHILADELPHIA PA 19103,215-238-3000
408,Fidelity & Guaranty Life,FGL,New York Stock Exchange,17.0,"9,750,000","$165,750,000",2013-12-13,/market-activity/ipos/overview?dealId=914332-73360,175,"56,750,000",964750000.0,"TWO RUAN CENTER 601 LOCUST STREET, 14TH FLOOR  DES MOINES IA 50309",800-445-6758
409,Nimble Storage Inc,NMBL,New York Stock Exchange,21.0,"8,000,000","$168,000,000",2013-12-13,/market-activity/ipos/overview?dealId=794687-73761,528,"70,280,400",1475888400.0,211 RIVER OAKS PARKWAY   SAN JOSE CA 95134,408 432-9600
410,"AMC ENTERTAINMENT HOLDINGS, INC.",AMC,New York Stock Exchange,18.0,"18,421,053","$331,578,954",2013-12-18,/market-activity/ipos/overview?dealId=756645-73371,19000,"18,921,691",340590438.0,ONE AMC WAY 11500 ASH STREET  LEAWOOD KS 66211,913-213-2000
411,"Arista Networks, Inc.",ANET,New York Stock Exchange,43.0,"5,250,000","$225,750,000",2014-06-06,/market-activity/ipos/overview?dealId=931003-75019,850,"63,582,416",2734043888.0,5453 GREAT AMERICA PARKWAY   SANTA CLARA CA 95054,408-547-5500
412,"Radius Health, Inc.",RDUS,Nasdaq National Market,8.0,"6,500,000","$52,000,000",2014-06-06,/market-activity/ipos/overview?dealId=775825-74728,13,"28,938,899",231511192.0,ATTN: CHIEF FINANCIAL OFFICER 950 WINTER STREET  WALTHAM MA 02451,617-551-4000
